Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Date,Category
/?option=com_phocadownload&view=category&id=13:country-databases&Itemid=155,2,1,0:00:09,0,0.00%,0.00%,2018-04-01,Dataset
/?p=1082&preview=true,1,1,0:00:55,0,0.00%,0.00%,2018-03-01,Exclude
/?p=1234&preview=true,7,1,0:00:33,0,0.00%,0.00%,2018-06-01,Exclude
/?p=1273&preview=true,1,1,0:21:55,0,0.00%,0.00%,2018-06-01,Exclude
/?p=1349&preview=true,2,2,0:00:23,0,0.00%,0.00%,2018-08-01,Exclude
/?p=1443&preview=true,1,1,0:00:10,0,0.00%,0.00%,2018-10-01,Exclude
/?p=866&preview=true,17,7,0:03:27,4,25.00%,17.65%,2018-02-01,Exclude
/?p=900&preview=true,2,1,0:00:03,0,0.00%,0.00%,2018-02-01,Exclude
/?page_id=1036&preview=true,9,2,0:01:55,0,0.00%,11.11%,2018-03-01,Exclude
/?page_id=1079&preview=true,12,2,0:01:24,1,0.00%,0.00%,2018-03-01,Exclude
/?page_id=1079&preview=true,1,1,0:00:06,0,0.00%,0.00%,2018-09-01,Exclude
/?page_id=1099&preview=true,2,1,0:00:22,0,0.00%,0.00%,2018-03-01,Exclude
/?page_id=1099&preview=true,29,3,0:04:03,2,0.00%,3.45%,2018-04-01,Exclude
/?page_id=1162&preview=true,13,5,0:03:13,1,0.00%,7.69%,2018-05-01,Exclude
/?page_id=1204&preview=true,15,4,0:02:46,1,0.00%,6.67%,2018-06-01,Exclude
/?page_id=1291&preview=true,1,1,0:11:42,1,0.00%,0.00%,2018-06-01,Exclude
/?page_id=1311&preview=true,3,1,0:00:24,1,0.00%,33.33%,2018-07-01,Exclude
/?page_id=1333&preview=true,7,1,0:01:23,0,0.00%,0.00%,2018-08-01,Exclude
/?page_id=1340&preview=true,6,4,0:02:48,3,66.67%,66.67%,2018-08-01,Exclude
/?page_id=1372&preview=true,6,1,0:13:18,0,0.00%,0.00%,2018-08-01,Exclude
/?page_id=1398&preview=true,16,1,0:01:07,1,0.00%,0.00%,2018-10-01,Exclude
/?page_id=1447&preview=true,5,2,0:04:44,1,0.00%,0.00%,2018-10-01,Exclude
/?page_id=1491&preview=true,3,1,0:05:24,0,0.00%,33.33%,2018-12-01,Exclude
/?page_id=823,2,1,0:00:20,1,0.00%,0.00%,2018-02-01,Exclude
/?page_id=823,1,1,0:00:12,1,0.00%,0.00%,2018-03-01,Exclude
/?page_id=823&preview_id=823&preview_nonce=5b02ac66e6&_thumbnail_id=877&preview=true,1,1,0:27:08,1,0.00%,0.00%,2018-02-01,Exclude
/?page_id=823&preview_id=823&preview_nonce=9ed14435ef&_thumbnail_id=877&preview=true,5,1,0:06:31,1,0.00%,0.00%,2018-02-01,Exclude
/?page_id=823&preview=true,8,5,0:03:05,1,0.00%,37.50%,2018-02-01,Exclude
/?page_id=823&preview=true&customize_changeset_uuid=233ad646-a98d-4b4b-817c-292062bd97ef&customize_theme=aurora&customize_messenger_channel=preview-0,1,1,0:00:04,0,0.00%,0.00%,2018-02-01,Exclude
/?page_id=825&preview=true,22,6,0:03:13,2,0.00%,13.64%,2018-02-01,Exclude
/?page_id=878&preview=true,2,2,0:00:46,0,0.00%,50.00%,2018-02-01,Exclude
/?page_id=908&preview=true,23,1,0:02:07,0,0.00%,0.00%,2018-02-01,Exclude
/?page_id=923&preview=true,3,1,0:00:14,0,0.00%,0.00%,2018-02-01,Exclude
/?page_id=923&preview=true,1,1,0:00:16,0,0.00%,0.00%,2018-03-01,Exclude
/?page_id=945&preview=true,1,1,0:00:45,0,0.00%,0.00%,2018-03-01,Exclude
/?page_id=948&preview=true,72,7,0:01:55,5,20.00%,8.33%,2018-03-01,Exclude
/?page_id=993&preview=true,3,1,0:01:02,0,0.00%,0.00%,2018-03-01,Exclude
/?page_id=998&preview=true,1,1,0:01:49,0,0.00%,0.00%,2018-03-01,Exclude
/?preview_id=406&preview_nonce=2690d92ddd&_thumbnail_id=-1&preview=true,1,1,0:00:26,0,0.00%,0.00%,2018-06-01,Exclude
/?preview_id=406&preview_nonce=3821cbece8&_thumbnail_id=-1&preview=true,5,1,0:00:47,0,0.00%,0.00%,2018-02-01,Exclude
/?preview_id=406&preview_nonce=40ad910760&_thumbnail_id=-1&preview=true,9,1,0:00:29,0,0.00%,0.00%,2018-03-01,Exclude
/?preview_id=406&preview_nonce=67ff4ad415&_thumbnail_id=-1&preview=true,4,1,0:01:39,0,0.00%,0.00%,2018-02-01,Exclude
/?preview_id=406&preview_nonce=89d71e93b8&_thumbnail_id=-1&preview=true,2,1,0:00:06,0,0.00%,0.00%,2018-10-01,Exclude
/?preview_id=406&preview_nonce=ba4dd3b086&_thumbnail_id=-1&preview=true,1,1,0:01:15,0,0.00%,0.00%,2018-08-01,Exclude
/?preview_id=406&preview_nonce=dd690b2c9f&_thumbnail_id=-1&preview=true,1,1,0:00:13,0,0.00%,0.00%,2018-03-01,Exclude
/?preview_id=406&preview_nonce=fdada0224b&_thumbnail_id=-1&preview=true,7,1,0:00:37,0,0.00%,0.00%,2018-08-01,Exclude
/?s=,1,1,0:00:11,0,0.00%,0.00%,2018-03-01,Cathome
/?s=,1,1,0:00:00,0,0.00%,100.00%,2018-09-01,Cathome
/?s=14332.1,1,1,0:00:14,0,0.00%,0.00%,2018-01-01,Cathome
/?s=A25W5K,1,1,0:00:00,0,0.00%,100.00%,2018-07-01,Cathome
/?s=alaska+permafrost+map,1,1,0:00:00,0,0.00%,100.00%,2018-05-01,Cathome
/?s=Amboliha,1,1,0:00:00,0,0.00%,100.00%,2018-10-01,Cathome
/?s=Arctic+channel+,1,1,0:00:07,0,0.00%,0.00%,2018-12-01,Cathome
/?s=ASDN,1,1,0:00:25,0,0.00%,0.00%,2018-01-01,Cathome
/?s=barrow,1,1,0:00:05,0,0.00%,0.00%,2018-07-01,Cathome
/?s=data,1,1,0:00:13,0,0.00%,0.00%,2018-08-01,Cathome
/?s=DBO,1,1,0:00:05,0,0.00%,0.00%,2018-02-01,Cathome
/?s=doi:10.18739/A25W5K,1,1,0:00:00,0,0.00%,100.00%,2018-04-01,Cathome
/?s=ground+temperature,1,1,0:00:05,0,0.00%,0.00%,2018-06-01,Cathome
/?s=o-buoy,1,1,0:00:12,0,0.00%,0.00%,2018-02-01,Cathome
/?s=O-Buoy,3,1,0:00:02,0,0.00%,0.00%,2018-09-01,Cathome
/?s=o+buoy,1,1,0:00:07,0,0.00%,0.00%,2018-10-01,Cathome
/?s=Observation+station,1,1,0:00:00,0,0.00%,100.00%,2018-11-01,Cathome
/?s=Permafrost+carbon+balance+survey,1,1,0:00:13,0,0.00%,0.00%,2018-03-01,Cathome
/?s=ressources,1,1,0:00:00,0,0.00%,100.00%,2018-04-01,Cathome
/?s=Selawik+Village,1,1,0:00:07,0,0.00%,0.00%,2018-02-01,Cathome
/?s=synthesis+working+grouop+reconciling+historical,1,1,0:00:33,0,0.00%,0.00%,2018-02-01,Cathome
/(doi.org/10.18739/A2CR5NC1B,1,1,0:00:00,1,100.00%,100.00%,2018-11-01,Cathome
/),1,1,0:00:03,1,0.00%,0.00%,2018-01-01,Home
/),4,4,0:00:00,4,100.00%,100.00%,2018-02-01,Home
/),1,1,0:00:02,1,0.00%,0.00%,2018-04-01,Home
/),5,5,0:00:00,5,100.00%,100.00%,2018-07-01,Home
/10.18739/A2MP8P,1,1,0:00:49,0,0.00%,0.00%,2018-02-01,Dataset
/2018-data-science-training-for-arctic-researchers/,567,500,0:03:15,367,80.93%,74.96%,2018-03-01,Training
/2018-data-science-training-for-arctic-researchers/,98,84,0:02:10,53,73.58%,63.27%,2018-04-01,Training
/2018-data-science-training-for-arctic-researchers/,65,62,0:03:00,50,74.00%,76.92%,2018-05-01,Training
/2018-data-science-training-for-arctic-researchers/,26,22,0:01:17,19,73.68%,61.54%,2018-06-01,Training
/2018-data-science-training-for-arctic-researchers/,24,22,0:01:29,17,70.59%,70.83%,2018-07-01,Training
/2018-data-science-training-for-arctic-researchers/,67,57,0:02:26,35,45.71%,43.28%,2018-08-01,Training
/2018-data-science-training-for-arctic-researchers/,26,23,0:00:28,17,29.41%,38.46%,2018-09-01,Training
/2018-data-science-training-for-arctic-researchers/,21,21,0:00:23,14,21.43%,19.05%,2018-10-01,Training
/2018-data-science-training-for-arctic-researchers/,8,8,0:02:14,7,57.14%,50.00%,2018-11-01,Training
/2018-data-science-training-for-arctic-researchers/,9,9,0:01:01,8,25.00%,22.22%,2018-12-01,Training
/2018-data-science-training-for-arctic-researchers/?preview_id=998&preview_nonce=273e01d135&_thumbnail_id=-1&preview=true,1,1,0:02:54,0,0.00%,0.00%,2018-06-01,Exclude
/2018-data-science-training-for-arctic-researchers/?preview_id=998&preview_nonce=74ed989963&_thumbnail_id=-1&preview=true,1,1,0:02:05,0,0.00%,0.00%,2018-03-01,Exclude
/2018-data-science-training-for-arctic-researchers/?preview_id=998&preview_nonce=9dc6554359&_thumbnail_id=-1&preview=true,5,2,0:00:55,1,0.00%,0.00%,2018-03-01,Exclude
/2018-data-science-training-for-arctic-researchers/?preview_id=998&preview_nonce=c0a173129b&_thumbnail_id=-1&preview=true,1,1,0:00:22,0,0.00%,0.00%,2018-03-01,Exclude
/2018-data-science-training-for-arctic-researchers>,1,1,0:00:00,1,100.00%,100.00%,2018-03-01,Training
/9fjh2mnn.htm,3,3,0:00:00,3,100.00%,100.00%,2018-03-01,Dataset
/about/,96,71,0:03:06,26,30.77%,32.29%,2018-01-01,About
/about/,37,36,0:00:43,8,75.00%,40.54%,2018-02-01,About
/about/,123,103,0:01:25,42,66.67%,52.85%,2018-03-01,About
/about/,135,115,0:01:39,59,77.97%,54.07%,2018-04-01,About
/about/,103,80,0:00:57,26,84.62%,51.46%,2018-05-01,About
/about/,60,53,0:01:24,16,43.75%,45.00%,2018-06-01,About
/about/,55,49,0:02:24,16,50.00%,38.18%,2018-07-01,About
/about/,74,63,0:01:34,10,70.00%,40.54%,2018-08-01,About
/about/,74,66,0:01:17,22,68.18%,48.65%,2018-09-01,About
/about/,72,57,0:01:46,14,35.71%,38.89%,2018-10-01,About
