"","original.DOI","recent.DOI"
"219","doi:10.18739/A25P44","doi:10.18739/A2SJ19R4Q"
"220","doi:10.18739/A25P6W","doi:10.18739/A2416SZ41"
"221","doi:10.18739/A25P91","doi:10.18739/A21C1TG1B"
"222","doi:10.18739/A25Q0Z","doi:10.18739/A24P9Q"
"223","doi:10.18739/A25Q1B","doi:10.18739/A25Q1B"
"224","doi:10.18739/A25Q2Q","doi:10.18739/A29D4M"
"225","doi:10.18739/A25S8P","doi:10.18739/A28C9R37P"
"226","doi:10.18739/A25S92","doi:10.18739/A25S92"
"227","doi:10.18739/A25W2F","doi:10.18739/A25W2F"
"228","doi:10.18739/A25W7B","doi:10.18739/A2BV79W0X"
"229","doi:10.18739/A25W8Q","doi:10.18739/A25W8Q"
"230","doi:10.18739/A2601D","doi:10.18739/A2601D"
"231","doi:10.18739/A26069","doi:10.18739/A2PZ51M69"
"232","doi:10.18739/A2607P","doi:10.18739/A2251FK6S"
"233","doi:10.18739/A26302","doi:10.18739/A26302"
"234","doi:10.18739/A2631F","doi:10.18739/A2631F"
"235","doi:10.18739/A2635Z","doi:10.18739/A2635Z"
"236","doi:10.18739/A26595","doi:10.18739/A26595"
"237","doi:10.18739/A2662V","doi:10.18739/A28P5V96Q"
"238","doi:10.18739/A2664M","doi:10.18739/A26688K02"
"239","doi:10.18739/A2666C","doi:10.18739/A2D795B7N"
"240","doi:10.18739/A26904","doi:10.18739/A26904"
"241","doi:10.18739/A2692W","doi:10.18739/A2XK84R1F"
"242","doi:10.18739/A26938","doi:10.18739/A2639K555"
"243","doi:10.18739/A2694N","doi:10.18739/A2M90235F"
"244","doi:10.18739/A26D05","doi:10.18739/A2G73746N"
"245","doi:10.18739/A26D39","doi:10.18739/A2Z60C268"
"246","doi:10.18739/A26D4P","doi:10.18739/A2MK6584G"
"247","doi:10.18739/A26G8W","doi:10.18739/A2D50FX9F"
"248","doi:10.18739/A26K5S","doi:10.18739/A2RR1PN0R"
"249","doi:10.18739/A26K65","doi:10.18739/A26K65"
"250","doi:10.18739/A26K7J","doi:10.18739/A20K2699N"
"251","doi:10.18739/A26M1M)","Error in get_all_versions(adc, dataframe_DOIs$original.DOI[i]) : 
  trying to get slot ""obsoletes"" from an object of a basic class (""NULL"") with no slots
"
"252","doi:10.18739/A26M20","doi:10.18739/A2MS3K22Q"
"253","doi:10.18739/A26P5T","doi:10.18739/A2Q23R00M"
"254","doi:10.18739/A26P9B","doi:10.18739/A22N4ZH24"
"255","doi:10.18739/A26Q1N","urn:uuid:fd1b5784-b642-45d6-82ea-8b1f49e8592e"
"256","doi:10.18739/A26Q21","doi:10.18739/A21S1S"
"257","doi:10.18739/A26S33","doi:10.18739/A26S33"
"258","doi:10.18739/A26S5V","doi:10.18739/A26S5V"
"259","doi:10.18739/A26S7M","doi:10.18739/A2ST7DX9N"
"260","doi:10.18739/A26S80","doi:10.18739/A2KD1QK7N"
"261","doi:10.18739/A26S9C","doi:10.18739/A26S9C"
"262","doi:10.18739/A26W4H","doi:10.18739/A2W37KV81"
"263","doi:10.18739/A26W81","doi:10.18739/A26W81"
"264","doi:10.18739/A26W9D","doi:10.18739/A26W9D"
"265","doi:10.18739/A2701Q","doi:10.18739/A2701Q"
"266","doi:10.18739/A27023","urn:uuid:6773a3b6-ab6e-4f3c-a69e-e71435edc96e"
"267","doi:10.18739/A2703G","doi:10.6073/pasta/105b5bd65c3f10c461446753e0ccb8af"
"268","doi:10.18739/A2706M","doi:10.18739/A2TQ5RF0P"
"269","doi:10.18739/A2730C","doi:10.18739/A20C4SK0M"
"270","doi:10.18739/A2731R","doi:10.18739/A2731R"
"271","doi:10.18739/A27358","doi:10.18739/A27358"
"272","doi:10.18739/A2763J","doi:10.18739/A20V89H5P"
"273","doi:10.18739/A27659","doi:10.18739/A2B853J29"
"274","doi:10.18739/A27884","doi:10.18739/A27884"
"275","doi:10.18739/A2793K","doi:10.18739/A25X25D07"
"276","doi:10.18739/A2794Z","doi:10.18739/A2794Z"
"277","doi:10.18739/A27D27","doi:10.18739/A27D27"
"278","doi:10.18739/A27D3M","doi:10.18739/A24X54G30"
"279","doi:10.18739/A27G6F","doi:10.18739/A2DB7VQ55"
"280","doi:10.18739/A27G86","doi:10.18739/A2ZW18T27"
"281","doi:10.18739/A27H0H","doi:10.18739/A27H0H"
"282","doi:10.18739/A27H1W","doi:10.18739/A2XP6V31W"
"283","doi:10.18739/A27H3N","doi:10.18739/A2SX64950"
"284","doi:10.18739/A27H41","doi:10.18739/A2RR1PN0R"
"285","doi:10.18739/A27K9M","urn:uuid:fc44cb5c-a76f-454d-883b-b652f47364e8"
