pid,formatId,dateUploaded,datasource,scoreOverall,scoreFindable,scoreAccessible,scoreInteroperable,scoreReusable,obsoletes,obsoletedBy,sequenceId
arctic-data.9493.1,eml://ecoinformatics.org/eml-2.1.1,2016-08-23T23:00:00.000Z,urn:node:ARCTIC,0.39473686,0.77,0.29,0.12,0.2,,urn:uuid:0599306e-2ed9-4f5f-a5aa-f1f05e70cebe,arctic-data.9493.1
urn:uuid:94168d20-1380-4f92-8962-96a4023e4950,eml://ecoinformatics.org/eml-2.1.1,2016-09-01T22:44:46.219Z,urn:node:ARCTIC,0.6,0.86,0.29,0.67,0.4,urn:uuid:6844df5d-d47e-4d44-911c-8915e368b1fd,urn:uuid:615aba0c-2929-411d-a1af-2e17346a0f43,arctic-data.9499.1
urn:uuid:9b53466a-6e33-4974-bb9e-67040b2e0be2,eml://ecoinformatics.org/eml-2.1.1,2016-09-01T21:20:48.563Z,urn:node:ARCTIC,0.6,0.86,0.29,0.67,0.4,arctic-data.9499.3,urn:uuid:6844df5d-d47e-4d44-911c-8915e368b1fd,arctic-data.9499.1
urn:uuid:54a25ed1-b0ba-4dde-9207-e91d02fd7e37,eml://ecoinformatics.org/eml-2.1.1,2016-09-01T01:45:29.718Z,urn:node:ARCTIC,0.575,0.86,0.29,0.67,0.3,urn:uuid:abb8e065-c5ca-497a-9019-9c9986f87c0b,urn:uuid:49295b90-d47c-447a-bdb2-2809b1240971,
urn:uuid:2ccfc8ca-9863-4515-870b-24ce09f00ccf,eml://ecoinformatics.org/eml-2.1.1,2016-09-15T22:46:10.586Z,urn:node:ARCTIC,0.475,0.87,0.43,0.12,0.2,,doi:10.18739/A2D366,urn:uuid:2ccfc8ca-9863-4515-870b-24ce09f00ccf
arctic-data.9521.1,eml://ecoinformatics.org/eml-2.1.1,2016-09-15T23:00:00.000Z,urn:node:ARCTIC,0.6097561,0.87,0.29,0.67,0.4,,urn:uuid:515f00c2-14f3-4050-9199-7f43435f681e,arctic-data.9521.1
urn:uuid:994de5af-14d5-4478-befc-68e0e744c5dc,eml://ecoinformatics.org/eml-2.1.1,2016-09-16T21:41:11.412Z,urn:node:ARCTIC,0.63414633,0.93,0.29,0.67,0.4,urn:uuid:b5ba9dd2-6b92-4b8b-a674-9555b108fd10,urn:uuid:543856e6-06bf-40f2-b996-aa9876878af8,arctic-data.9521.1
arctic-data.9522.1,eml://ecoinformatics.org/eml-2.1.1,2016-09-16T23:00:00.000Z,urn:node:ARCTIC,0.39473686,0.77,0.29,0.12,0.2,,urn:uuid:d35914e3-1ee6-4c9b-946d-910b7cf8fd29,arctic-data.9522.1
arctic-data.9532.2,eml://ecoinformatics.org/eml-2.1.1,2016-09-21T23:00:00.000Z,urn:node:ARCTIC,0.53846157,0.77,0.29,0.67,0.3,arctic-data.9532.1,arctic-data.9532.3,arctic-data.9532.1
urn:uuid:4640e31d-92c1-4d02-9f47-e57428304ed5,eml://ecoinformatics.org/eml-2.1.1,2016-10-04T19:42:00.691Z,urn:node:ARCTIC,0.5897436,0.85,0.29,0.67,0.4,arctic-data.9526.2,urn:uuid:d20e4e36-3573-49e8-b6f7-92d2cfbffbfa,arctic-data.9526.1
urn:uuid:99ab7c7a-d915-4da2-b988-b2e34e9736b2,eml://ecoinformatics.org/eml-2.1.1,2016-10-04T19:50:08.504Z,urn:node:ARCTIC,0.5641026,0.77,0.29,0.67,0.4,urn:uuid:26d9dc9c-79c5-49df-a870-36e7173a6c6d,urn:uuid:ec385abf-a7b7-41d3-86d2-3db8f3a94425,arctic-data.9532.1
